parameter,value
"Total consumption",6799.967
"Sum of all exports",1179.77
"Sum of all respiratory flows",2416.404
"Sum of all flows into detritus",3907.902
"Total system throughput",14304.04
"Sum of all production",5294.5
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000645049
"Calculated total net primary production",3540.226
"Total primary production/total respiration",1.46508
"Net system production",1123.822
"Total primary production/total biomass",8.261028
"Total biomass/total throughput",0.02995975
"Total biomass (excluding detritus)",428.5455
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000218
"Total market value",2.14144
"Total shadow value",0.06961985
"Total value",2.21106
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4979085
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037765
