parameter,value
"Total consumption",6738.92
"Sum of all exports",1203.673
"Sum of all respiratory flows",2398.474
"Sum of all flows into detritus",3963.34
"Total system throughput",14304.41
"Sum of all production",5282.586
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006436354
"Calculated total net primary production",3548.002
"Total primary production/total respiration",1.479275
"Net system production",1149.528
"Total primary production/total biomass",8.30046
"Total biomass/total throughput",0.02988215
"Total biomass (excluding detritus)",427.4464
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000877
"Total market value",2.14144
"Total shadow value",0.06719624
"Total value",2.208636
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4954847
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029616
