parameter,value
"Total consumption",6670.54
"Sum of all exports",1123.11
"Sum of all respiratory flows",2356.101
"Sum of all flows into detritus",3809.929
"Total system throughput",13959.68
"Sum of all production",5160.85
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006669178
"Calculated total net primary production",3424.139
"Total primary production/total respiration",1.453308
"Net system production",1068.039
"Total primary production/total biomass",7.994374
"Total biomass/total throughput",0.03068255
"Total biomass (excluding detritus)",428.3186
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005175
"Total market value",2.14144
"Total shadow value",0.0725457
"Total value",2.213986
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5008343
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036643
