parameter,value
"Total consumption",6691.197
"Sum of all exports",1189.049
"Sum of all respiratory flows",2355.344
"Sum of all flows into detritus",3916.16
"Total system throughput",14151.75
"Sum of all production",5239.212
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006545769
"Calculated total net primary production",3488.695
"Total primary production/total respiration",1.481183
"Net system production",1133.351
"Total primary production/total biomass",8.105302
"Total biomass/total throughput",0.03041471
"Total biomass (excluding detritus)",430.4214
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002307
"Total market value",2.14144
"Total shadow value",0.0732785
"Total value",2.214718
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.501567
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03545
