parameter,value
"Total consumption",6719.667
"Sum of all exports",1128.5
"Sum of all respiratory flows",2348.176
"Sum of all flows into detritus",3853.287
"Total system throughput",14049.63
"Sum of all production",5194.319
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006677115
"Calculated total net primary production",3420.069
"Total primary production/total respiration",1.456479
"Net system production",1071.894
"Total primary production/total biomass",7.958382
"Total biomass/total throughput",0.03058759
"Total biomass (excluding detritus)",429.7443
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003161
"Total market value",2.14144
"Total shadow value",0.07023674
"Total value",2.211677
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4985253
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028373
