parameter,value
"Total consumption",6715.035
"Sum of all exports",1110.231
"Sum of all respiratory flows",2423.998
"Sum of all flows into detritus",3799.13
"Total system throughput",14048.39
"Sum of all production",5175.565
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006561105
"Calculated total net primary production",3480.541
"Total primary production/total respiration",1.435868
"Net system production",1056.542
"Total primary production/total biomass",8.146457
"Total biomass/total throughput",0.03041244
"Total biomass (excluding detritus)",427.2459
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002612
"Total market value",2.14144
"Total shadow value",0.06739298
"Total value",2.208833
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4956816
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029227
