parameter,value
"Total consumption",6903.497
"Sum of all exports",1118.581
"Sum of all respiratory flows",2482.57
"Sum of all flows into detritus",3917.393
"Total system throughput",14422.04
"Sum of all production",5296.149
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006440721
"Calculated total net primary production",3545.596
"Total primary production/total respiration",1.428196
"Net system production",1063.026
"Total primary production/total biomass",8.15706
"Total biomass/total throughput",0.03013901
"Total biomass (excluding detritus)",434.666
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003385
"Total market value",2.14144
"Total shadow value",0.07209974
"Total value",2.21354
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5003883
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029454
