parameter,value
"Total consumption",6825.853
"Sum of all exports",1123.265
"Sum of all respiratory flows",2438.128
"Sum of all flows into detritus",3914.009
"Total system throughput",14301.25
"Sum of all production",5253.748
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006512991
"Calculated total net primary production",3506.253
"Total primary production/total respiration",1.438092
"Net system production",1068.125
"Total primary production/total biomass",8.143564
"Total biomass/total throughput",0.0301061
"Total biomass (excluding detritus)",430.5551
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001149
"Total market value",2.14144
"Total shadow value",0.07175606
"Total value",2.213196
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000447
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030367
