parameter,value
"Total consumption",6821.303
"Sum of all exports",1191.847
"Sum of all respiratory flows",2432.138
"Sum of all flows into detritus",3933.479
"Total system throughput",14378.77
"Sum of all production",5320.642
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006396145
"Calculated total net primary production",3570.306
"Total primary production/total respiration",1.46797
"Net system production",1138.168
"Total primary production/total biomass",8.223662
"Total biomass/total throughput",0.03019385
"Total biomass (excluding detritus)",434.1504
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005339
"Total market value",2.14144
"Total shadow value",0.06887811
"Total value",2.210318
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4971668
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027668
