parameter,value
"Total consumption",6816.647
"Sum of all exports",1132.588
"Sum of all respiratory flows",2459.547
"Sum of all flows into detritus",3842.753
"Total system throughput",14251.54
"Sum of all production",5256.862
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006454432
"Calculated total net primary production",3538.064
"Total primary production/total respiration",1.438502
"Net system production",1078.517
"Total primary production/total biomass",8.222635
"Total biomass/total throughput",0.03019208
"Total biomass (excluding detritus)",430.2835
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001386
"Total market value",2.14144
"Total shadow value",0.07425718
"Total value",2.215697
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5025457
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03211
