parameter,value
"Total consumption",6698.364
"Sum of all exports",1131.682
"Sum of all respiratory flows",2387.853
"Sum of all flows into detritus",3858.208
"Total system throughput",14076.11
"Sum of all production",5185.517
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000659266
"Calculated total net primary production",3463.882
"Total primary production/total respiration",1.450626
"Net system production",1076.029
"Total primary production/total biomass",8.096254
"Total biomass/total throughput",0.03039459
"Total biomass (excluding detritus)",427.8376
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003748
"Total market value",2.14144
"Total shadow value",0.06866148
"Total value",2.210101
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.49695
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033388
