parameter,value
"Total consumption",6821.223
"Sum of all exports",1059.908
"Sum of all respiratory flows",2483.679
"Sum of all flows into detritus",3829.827
"Total system throughput",14194.64
"Sum of all production",5188.507
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006546876
"Calculated total net primary production",3488.106
"Total primary production/total respiration",1.404411
"Net system production",1004.427
"Total primary production/total biomass",8.098185
"Total biomass/total throughput",0.03034434
"Total biomass (excluding detritus)",430.7269
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001675
"Total market value",2.14144
"Total shadow value",0.07301345
"Total value",2.214453
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5013021
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03559
