parameter,value
"Total consumption",6743.418
"Sum of all exports",984.2827
"Sum of all respiratory flows",2462.909
"Sum of all flows into detritus",3685.93
"Total system throughput",13876.54
"Sum of all production",5066.224
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006730258
"Calculated total net primary production",3393.064
"Total primary production/total respiration",1.377665
"Net system production",930.155
"Total primary production/total biomass",7.931995
"Total biomass/total throughput",0.0308268
"Total biomass (excluding detritus)",427.7693
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002014
"Total market value",2.14144
"Total shadow value",0.07095899
"Total value",2.212399
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4992477
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030153
