GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001001029,0.04987563,5.968005,0,0.00835717,0,0,0,0,0.04987563,1
2,Salmon_sharks,0.2213724,0.1042184,6.15479,0.4972811,0.01693289,0.05182584,0,0,0,0.05239256,0.5027189
3,Resident_orca,0.01502095,0.05067047,8.600413,0,0.005891632,0,0,0,0,0.05067047,1
4,Sleeper_sharks,0.1113767,0.07047266,3.726904,0,0.01890917,0,0,0,0,0.07047266,1
5,Halibut,0.6871627,0.3221719,1.675815,0.2469708,0.1922479,0.02494973,0.05461731,0,0,0.2426049,0.9225577
6,Pinnipeds,0.07240611,0.05792432,25.90041,0.8259835,0.002236424,0.009112173,0.03873235,0,0,0.01007979,0.8426883
7,Porpoise,0.01571208,0.1476234,29.24495,0.8852143,0.005047826,0.0002563582,0.130422,0,0,0.01694506,0.9982634
8,Lingcod,0.07640065,0.5699136,3.311474,0.873753,0.1721027,0.02079105,0.4771727,0,0,0.07194987,0.9635189
9,Arrowtooth_L,3.87093,0.2545473,1.454862,0.14235,0.1749632,0.0003771424,0.03585767,0,0,0.2183125,0.9985184
10,Salmon_L,3.466164,1.530202,12.16761,0.6811109,0.1257603,0.5364779,0.5057595,0,0,0.4879647,0.6494071
11,Pacific_cod,0.2996372,1.153657,3.974004,0.7255715,0.290301,0.2214421,0.6156188,0,0,0.3165965,0.8080521
12,Sablefish,0.4745126,0.5657389,6.476359,0.8977765,0.08735447,0.03943058,0.4684766,0,0,0.05783182,0.9303025
13,Arrowtooth_S,0.2366494,0.2136544,3.290971,0.9571558,0.06492139,0,0.2045006,0,0,0.009153849,1
14,Spiny_dogfish,0.1556773,0.09091111,2.941366,0.7811017,0.03090779,0,0.07101082,0,0,0.01990029,1
15,Avian_raptors,0.003334052,0.04942271,35.42549,0,0.001395117,0,0,0,0,0.04942271,1
16,Octopods,0.1550843,3.1188,11.74457,0.9424036,0.2655526,0.001490076,2.937678,0,0,0.1796318,0.9995222
17,Seabirds,0.02261684,0.1695713,149.6001,0.6453201,0.001133497,0,0.1094278,0,0,0.06014352,1
18,Deep_demersals,1.026547,1.019764,3.206211,0.9056911,0.3180588,0.002632004,0.9209588,0,0,0.09617274,0.997419
