parameter,value
"Total consumption",6836.095
"Sum of all exports",1271.4
"Sum of all respiratory flows",2430.246
"Sum of all flows into detritus",4064.243
"Total system throughput",14601.98
"Sum of all production",5408.138
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006264488
"Calculated total net primary production",3645.341
"Total primary production/total respiration",1.499988
"Net system production",1215.095
"Total primary production/total biomass",8.416948
"Total biomass/total throughput",0.02966003
"Total biomass (excluding detritus)",433.0953
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001843
"Total market value",2.14144
"Total shadow value",0.07357694
"Total value",2.215017
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5018655
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035798
