parameter,value
"Total consumption",6872.271
"Sum of all exports",1110.199
"Sum of all respiratory flows",2489.249
"Sum of all flows into detritus",3925.667
"Total system throughput",14397.39
"Sum of all production",5268.34
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006445096
"Calculated total net primary production",3543.189
"Total primary production/total respiration",1.423397
"Net system production",1053.94
"Total primary production/total biomass",8.233658
"Total biomass/total throughput",0.02988945
"Total biomass (excluding detritus)",430.3299
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001366
"Total market value",2.14144
"Total shadow value",0.07093664
"Total value",2.212377
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4992253
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036601
