parameter,value
"Total consumption",6816.181
"Sum of all exports",1111.459
"Sum of all respiratory flows",2425.948
"Sum of all flows into detritus",3859.505
"Total system throughput",14213.09
"Sum of all production",5236.054
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006557466
"Calculated total net primary production",3482.472
"Total primary production/total respiration",1.43551
"Net system production",1056.524
"Total primary production/total biomass",8.062142
"Total biomass/total throughput",0.03039125
"Total biomass (excluding detritus)",431.9537
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005974
"Total market value",2.14144
"Total shadow value",0.0726589
"Total value",2.214099
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5009476
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031355
