parameter,value
"Total consumption",6775.445
"Sum of all exports",1153.517
"Sum of all respiratory flows",2415.403
"Sum of all flows into detritus",3884.082
"Total system throughput",14228.45
"Sum of all production",5254.37
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006498864
"Calculated total net primary production",3513.875
"Total primary production/total respiration",1.454778
"Net system production",1098.471
"Total primary production/total biomass",8.18651
"Total biomass/total throughput",0.03016685
"Total biomass (excluding detritus)",429.2274
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003939
"Total market value",2.14144
"Total shadow value",0.07246481
"Total value",2.213905
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5007533
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035038
