parameter,value
"Total consumption",6778.487
"Sum of all exports",1151.965
"Sum of all respiratory flows",2423.618
"Sum of all flows into detritus",3858.128
"Total system throughput",14212.2
"Sum of all production",5254.312
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000648802
"Calculated total net primary production",3519.748
"Total primary production/total respiration",1.45227
"Net system production",1096.13
"Total primary production/total biomass",8.205526
"Total biomass/total throughput",0.03018171
"Total biomass (excluding detritus)",428.9485
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200306
"Total market value",2.14144
"Total shadow value",0.07334141
"Total value",2.214781
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5016299
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035754
