parameter,value
"Total consumption",6850.291
"Sum of all exports",1147.722
"Sum of all respiratory flows",2433.112
"Sum of all flows into detritus",3932.871
"Total system throughput",14364
"Sum of all production",5294.647
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006477394
"Calculated total net primary production",3525.522
"Total primary production/total respiration",1.448976
"Net system production",1092.41
"Total primary production/total biomass",8.120838
"Total biomass/total throughput",0.03022368
"Total biomass (excluding detritus)",434.1328
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200371
"Total market value",2.14144
"Total shadow value",0.07401911
"Total value",2.215459
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5023078
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028056
