parameter,value
"Total consumption",6897.424
"Sum of all exports",1170.125
"Sum of all respiratory flows",2446.139
"Sum of all flows into detritus",3943.094
"Total system throughput",14456.78
"Sum of all production",5346.082
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006410112
"Calculated total net primary production",3562.527
"Total primary production/total respiration",1.456388
"Net system production",1116.388
"Total primary production/total biomass",8.189631
"Total biomass/total throughput",0.03009
"Total biomass (excluding detritus)",435.0046
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002129
"Total market value",2.14144
"Total shadow value",0.07449725
"Total value",2.215937
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5027858
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03252
