parameter,value
"Total consumption",6880.485
"Sum of all exports",1146.631
"Sum of all respiratory flows",2467.201
"Sum of all flows into detritus",3898.979
"Total system throughput",14393.3
"Sum of all production",5311.015
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006416758
"Calculated total net primary production",3558.836
"Total primary production/total respiration",1.442459
"Net system production",1091.636
"Total primary production/total biomass",8.258746
"Total biomass/total throughput",0.02993875
"Total biomass (excluding detritus)",430.9173
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200291
"Total market value",2.14144
"Total shadow value",0.07009952
"Total value",2.21154
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4983882
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03261
