parameter,value
"Total consumption",6727.373
"Sum of all exports",1140.256
"Sum of all respiratory flows",2404.218
"Sum of all flows into detritus",3843.134
"Total system throughput",14114.98
"Sum of all production",5212.98
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006542137
"Calculated total net primary production",3490.632
"Total primary production/total respiration",1.451879
"Net system production",1086.414
"Total primary production/total biomass",8.139091
"Total biomass/total throughput",0.0303842
"Total biomass (excluding detritus)",428.8724
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004116
"Total market value",2.14144
"Total shadow value",0.07129543
"Total value",2.212735
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4995841
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036283
