parameter,value
"Total consumption",6800.5
"Sum of all exports",1189.107
"Sum of all respiratory flows",2431.648
"Sum of all flows into detritus",3952.472
"Total system throughput",14373.73
"Sum of all production",5304.255
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006406975
"Calculated total net primary production",3564.271
"Total primary production/total respiration",1.465784
"Net system production",1132.623
"Total primary production/total biomass",8.274323
"Total biomass/total throughput",0.02996876
"Total biomass (excluding detritus)",430.7628
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002496
"Total market value",2.14144
"Total shadow value",0.06944181
"Total value",2.210882
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4977304
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030851
