parameter,value
"Total consumption",6811.548
"Sum of all exports",1229.852
"Sum of all respiratory flows",2420.1
"Sum of all flows into detritus",3993.326
"Total system throughput",14454.83
"Sum of all production",5351.921
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006353206
"Calculated total net primary production",3594.437
"Total primary production/total respiration",1.485243
"Net system production",1174.336
"Total primary production/total biomass",8.27975
"Total biomass/total throughput",0.03003314
"Total biomass (excluding detritus)",434.1238
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999297
"Total market value",2.14144
"Total shadow value",0.07145826
"Total value",2.212898
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4997469
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033117
