parameter,value
"Total consumption",6722.948
"Sum of all exports",1190.151
"Sum of all respiratory flows",2413.156
"Sum of all flows into detritus",3913.654
"Total system throughput",14239.91
"Sum of all production",5260.775
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006433268
"Calculated total net primary production",3549.703
"Total primary production/total respiration",1.47098
"Net system production",1136.547
"Total primary production/total biomass",8.259331
"Total biomass/total throughput",0.03018144
"Total biomass (excluding detritus)",429.781
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004345
"Total market value",2.14144
"Total shadow value",0.06818712
"Total value",2.209627
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4964758
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031915
