parameter,value
"Total consumption",6690.643
"Sum of all exports",1080.738
"Sum of all respiratory flows",2388.357
"Sum of all flows into detritus",3788.596
"Total system throughput",13948.33
"Sum of all production",5129.763
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000668996
"Calculated total net primary production",3413.502
"Total primary production/total respiration",1.429226
"Net system production",1025.145
"Total primary production/total biomass",8.010259
"Total biomass/total throughput",0.03055142
"Total biomass (excluding detritus)",426.1414
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004977
"Total market value",2.14144
"Total shadow value",0.07198947
"Total value",2.213429
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5002781
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.0353
