parameter,value
"Total consumption",6792.753
"Sum of all exports",1134.132
"Sum of all respiratory flows",2427.592
"Sum of all flows into detritus",3911.86
"Total system throughput",14266.34
"Sum of all production",5245.172
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006512583
"Calculated total net primary production",3506.473
"Total primary production/total respiration",1.444424
"Net system production",1078.881
"Total primary production/total biomass",8.12569
"Total biomass/total throughput",0.03024808
"Total biomass (excluding detritus)",431.5292
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999352
"Total market value",2.14144
"Total shadow value",0.07239424
"Total value",2.213834
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5006827
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027277
