parameter,value
"Total consumption",6787.008
"Sum of all exports",1087.428
"Sum of all respiratory flows",2414.029
"Sum of all flows into detritus",3829.342
"Total system throughput",14117.81
"Sum of all production",5194.131
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006626775
"Calculated total net primary production",3446.05
"Total primary production/total respiration",1.42751
"Net system production",1032.021
"Total primary production/total biomass",7.962571
"Total biomass/total throughput",0.03065498
"Total biomass (excluding detritus)",432.781
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005473
"Total market value",2.14144
"Total shadow value",0.07096869
"Total value",2.212409
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4992572
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029923
