parameter,value
"Total consumption",6604.729
"Sum of all exports",1079.212
"Sum of all respiratory flows",2337.925
"Sum of all flows into detritus",3754.669
"Total system throughput",13776.53
"Sum of all production",5078.108
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006791946
"Calculated total net primary production",3362.246
"Total primary production/total respiration",1.438133
"Net system production",1024.321
"Total primary production/total biomass",7.886559
"Total biomass/total throughput",0.03094582
"Total biomass (excluding detritus)",426.3261
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004011
"Total market value",2.14144
"Total shadow value",0.06820409
"Total value",2.209644
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4964927
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034364
