parameter,value
"Total consumption",6880.837
"Sum of all exports",1175.369
"Sum of all respiratory flows",2452.441
"Sum of all flows into detritus",3977.125
"Total system throughput",14485.77
"Sum of all production",5339.232
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006391964
"Calculated total net primary production",3572.641
"Total primary production/total respiration",1.45677
"Net system production",1120.2
"Total primary production/total biomass",8.248471
"Total biomass/total throughput",0.02990021
"Total biomass (excluding detritus)",433.1277
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005219
"Total market value",2.14144
"Total shadow value",0.07297125
"Total value",2.214411
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5012599
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029265
