parameter,value
"Total consumption",6803.546
"Sum of all exports",1150.377
"Sum of all respiratory flows",2436.267
"Sum of all flows into detritus",3917.087
"Total system throughput",14307.28
"Sum of all production",5268.978
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006463818
"Calculated total net primary production",3532.927
"Total primary production/total respiration",1.45014
"Net system production",1096.66
"Total primary production/total biomass",8.161047
"Total biomass/total throughput",0.03025741
"Total biomass (excluding detritus)",432.9012
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002505
"Total market value",2.14144
"Total shadow value",0.07054124
"Total value",2.211981
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4988297
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.026963
