parameter,value
"Total consumption",6708.496
"Sum of all exports",1086.976
"Sum of all respiratory flows",2394.521
"Sum of all flows into detritus",3809.225
"Total system throughput",13999.22
"Sum of all production",5148.959
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006660805
"Calculated total net primary production",3428.444
"Total primary production/total respiration",1.431787
"Net system production",1033.923
"Total primary production/total biomass",7.980027
"Total biomass/total throughput",0.03068944
"Total biomass (excluding detritus)",429.6281
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002848
"Total market value",2.14144
"Total shadow value",0.06858198
"Total value",2.210022
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4968706
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027923
