parameter,value
"Total consumption",6843.864
"Sum of all exports",1107.467
"Sum of all respiratory flows",2462.967
"Sum of all flows into detritus",3886.82
"Total system throughput",14301.12
"Sum of all production",5249.842
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006495002
"Calculated total net primary production",3515.964
"Total primary production/total respiration",1.427532
"Net system production",1052.998
"Total primary production/total biomass",8.124695
"Total biomass/total throughput",0.03025989
"Total biomass (excluding detritus)",432.7503
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001497
"Total market value",2.14144
"Total shadow value",0.07061354
"Total value",2.212054
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4989022
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028573
