parameter,value
"Total consumption",6648.461
"Sum of all exports",1162.274
"Sum of all respiratory flows",2363.271
"Sum of all flows into detritus",3875.233
"Total system throughput",14049.24
"Sum of all production",5185.204
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006581078
"Calculated total net primary production",3469.978
"Total primary production/total respiration",1.468294
"Net system production",1106.706
"Total primary production/total biomass",8.119107
"Total biomass/total throughput",0.03042045
"Total biomass (excluding detritus)",427.3842
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003395
"Total market value",2.14144
"Total shadow value",0.0718103
"Total value",2.21325
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000988
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032551
