parameter,value
"Total consumption",6757.745
"Sum of all exports",1100.345
"Sum of all respiratory flows",2430.537
"Sum of all flows into detritus",3830.47
"Total system throughput",14119.1
"Sum of all production",5191.494
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006568732
"Calculated total net primary production",3476.5
"Total primary production/total respiration",1.430342
"Net system production",1045.962
"Total primary production/total biomass",8.084665
"Total biomass/total throughput",0.03045602
"Total biomass (excluding detritus)",430.0116
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002154
"Total market value",2.14144
"Total shadow value",0.07431675
"Total value",2.215757
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5026053
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035686
