parameter,value
"Total consumption",6730.553
"Sum of all exports",1196.661
"Sum of all respiratory flows",2414.584
"Sum of all flows into detritus",3913.412
"Total system throughput",14255.21
"Sum of all production",5270.629
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006419835
"Calculated total net primary production",3557.131
"Total primary production/total respiration",1.473186
"Net system production",1142.547
"Total primary production/total biomass",8.306226
"Total biomass/total throughput",0.03004156
"Total biomass (excluding detritus)",428.2488
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001068
"Total market value",2.14144
"Total shadow value",0.06773731
"Total value",2.209177
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4960259
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030396
