parameter,value
"Total consumption",6837.211
"Sum of all exports",1017.792
"Sum of all respiratory flows",2471.796
"Sum of all flows into detritus",3783.553
"Total system throughput",14110.35
"Sum of all production",5155.062
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000665013
"Calculated total net primary production",3433.947
"Total primary production/total respiration",1.389252
"Net system production",962.1509
"Total primary production/total biomass",7.953184
"Total biomass/total throughput",0.03059952
"Total biomass (excluding detritus)",431.7701
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004006
"Total market value",2.14144
"Total shadow value",0.07456993
"Total value",2.21601
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5028585
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033112
