parameter,value
"Total consumption",6706.358
"Sum of all exports",1148.501
"Sum of all respiratory flows",2387.714
"Sum of all flows into detritus",3843.938
"Total system throughput",14086.51
"Sum of all production",5208.165
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006559788
"Calculated total net primary production",3481.24
"Total primary production/total respiration",1.45798
"Net system production",1093.525
"Total primary production/total biomass",8.140583
"Total biomass/total throughput",0.03035812
"Total biomass (excluding detritus)",427.6401
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998874
"Total market value",2.14144
"Total shadow value",0.06959652
"Total value",2.211036
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4978851
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035907
