parameter,value
"Total consumption",6641.798
"Sum of all exports",1173.416
"Sum of all respiratory flows",2363.809
"Sum of all flows into detritus",3857.625
"Total system throughput",14036.65
"Sum of all production",5194.238
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006556492
"Calculated total net primary production",3482.99
"Total primary production/total respiration",1.473465
"Net system production",1119.181
"Total primary production/total biomass",8.245603
"Total biomass/total throughput",0.03009306
"Total biomass (excluding detritus)",422.4058
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200561
"Total market value",2.14144
"Total shadow value",0.06848593
"Total value",2.209926
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4967746
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.039252
