parameter,value
"Total consumption",6755.852
"Sum of all exports",1200.451
"Sum of all respiratory flows",2397.548
"Sum of all flows into detritus",3941.951
"Total system throughput",14295.8
"Sum of all production",5289.839
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006446019
"Calculated total net primary production",3542.682
"Total primary production/total respiration",1.477627
"Net system production",1145.134
"Total primary production/total biomass",8.199397
"Total biomass/total throughput",0.03022329
"Total biomass (excluding detritus)",432.0661
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003682
"Total market value",2.14144
"Total shadow value",0.07202467
"Total value",2.213464
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5003132
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032303
