parameter,value
"Total consumption",6799.537
"Sum of all exports",1150.654
"Sum of all respiratory flows",2413.633
"Sum of all flows into detritus",3935.964
"Total system throughput",14299.79
"Sum of all production",5265.264
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006507243
"Calculated total net primary production",3509.35
"Total primary production/total respiration",1.45397
"Net system production",1095.717
"Total primary production/total biomass",8.182054
"Total biomass/total throughput",0.02999403
"Total biomass (excluding detritus)",428.9082
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998741
"Total market value",2.14144
"Total shadow value",0.07088067
"Total value",2.212321
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991692
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032373
