parameter,value
"Total consumption",6789.138
"Sum of all exports",1067.464
"Sum of all respiratory flows",2437.229
"Sum of all flows into detritus",3813.958
"Total system throughput",14107.79
"Sum of all production",5176.934
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006619133
"Calculated total net primary production",3450.028
"Total primary production/total respiration",1.415554
"Net system production",1012.799
"Total primary production/total biomass",8.078279
"Total biomass/total throughput",0.03027226
"Total biomass (excluding detritus)",427.0746
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000322
"Total market value",2.14144
"Total shadow value",0.06918155
"Total value",2.210621
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.49747
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033935
