parameter,value
"Total consumption",6711.089
"Sum of all exports",1140.273
"Sum of all respiratory flows",2411.888
"Sum of all flows into detritus",3857.712
"Total system throughput",14120.96
"Sum of all production",5202.371
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006530538
"Calculated total net primary production",3496.832
"Total primary production/total respiration",1.449832
"Net system production",1084.944
"Total primary production/total biomass",8.229435
"Total biomass/total throughput",0.03009126
"Total biomass (excluding detritus)",424.9176
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001471
"Total market value",2.14144
"Total shadow value",0.06952555
"Total value",2.210965
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4978141
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033931
