parameter,value
"Total consumption",6781.05
"Sum of all exports",1052.023
"Sum of all respiratory flows",2455.751
"Sum of all flows into detritus",3808.199
"Total system throughput",14097.02
"Sum of all production",5156.111
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006615096
"Calculated total net primary production",3452.134
"Total primary production/total respiration",1.405735
"Net system production",996.3828
"Total primary production/total biomass",8.037558
"Total biomass/total throughput",0.03046745
"Total biomass (excluding detritus)",429.5003
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999144
"Total market value",2.14144
"Total shadow value",0.07222661
"Total value",2.213666
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5005151
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028148
