parameter,value
"Total consumption",6724.208
"Sum of all exports",1115.866
"Sum of all respiratory flows",2411.032
"Sum of all flows into detritus",3843.026
"Total system throughput",14094.13
"Sum of all production",5185.315
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000657761
"Calculated total net primary production",3471.807
"Total primary production/total respiration",1.439967
"Net system production",1060.775
"Total primary production/total biomass",8.060769
"Total biomass/total throughput",0.03055912
"Total biomass (excluding detritus)",430.7042
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200535
"Total market value",2.14144
"Total shadow value",0.07366756
"Total value",2.215107
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5019561
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032264
