parameter,value
"Total consumption",6759.265
"Sum of all exports",1192.628
"Sum of all respiratory flows",2432.507
"Sum of all flows into detritus",3911.261
"Total system throughput",14295.66
"Sum of all production",5284.186
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006395622
"Calculated total net primary production",3570.598
"Total primary production/total respiration",1.467867
"Net system production",1138.09
"Total primary production/total biomass",8.234841
"Total biomass/total throughput",0.03033063
"Total biomass (excluding detritus)",433.5964
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004361
"Total market value",2.14144
"Total shadow value",0.07129216
"Total value",2.212732
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4995807
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028643
