parameter,value
"Total consumption",6836.721
"Sum of all exports",1168.75
"Sum of all respiratory flows",2436.953
"Sum of all flows into detritus",3895.877
"Total system throughput",14338.3
"Sum of all production",5305.746
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006433233
"Calculated total net primary production",3549.723
"Total primary production/total respiration",1.456623
"Net system production",1112.77
"Total primary production/total biomass",8.183776
"Total biomass/total throughput",0.03025123
"Total biomass (excluding detritus)",433.7513
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001893
"Total market value",2.14144
"Total shadow value",0.07231403
"Total value",2.213754
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5006026
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032683
