parameter,value
"Total consumption",6880.324
"Sum of all exports",1113.853
"Sum of all respiratory flows",2477.905
"Sum of all flows into detritus",3889.176
"Total system throughput",14361.26
"Sum of all production",5277.547
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006457561
"Calculated total net primary production",3536.349
"Total primary production/total respiration",1.427153
"Net system production",1058.445
"Total primary production/total biomass",8.180517
"Total biomass/total throughput",0.03010107
"Total biomass (excluding detritus)",432.2892
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.199814
"Total market value",2.14144
"Total shadow value",0.07111207
"Total value",2.212552
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4994007
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032614
