parameter,value
"Total consumption",6798.628
"Sum of all exports",1161.05
"Sum of all respiratory flows",2463.362
"Sum of all flows into detritus",3890.54
"Total system throughput",14313.58
"Sum of all production",5274.821
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006400035
"Calculated total net primary production",3568.136
"Total primary production/total respiration",1.448482
"Net system production",1104.774
"Total primary production/total biomass",8.255231
"Total biomass/total throughput",0.03019701
"Total biomass (excluding detritus)",432.2273
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002233
"Total market value",2.14144
"Total shadow value",0.0745583
"Total value",2.215998
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5028468
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031905
