parameter,value
"Total consumption",6719.542
"Sum of all exports",1124.514
"Sum of all respiratory flows",2403.534
"Sum of all flows into detritus",3892.867
"Total system throughput",14140.46
"Sum of all production",5192.008
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006573388
"Calculated total net primary production",3474.037
"Total primary production/total respiration",1.445387
"Net system production",1070.503
"Total primary production/total biomass",8.096126
"Total biomass/total throughput",0.03034546
"Total biomass (excluding detritus)",429.0987
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002095
"Total market value",2.14144
"Total shadow value",0.07018013
"Total value",2.21162
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4984688
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031255
