parameter,value
"Total consumption",6816.174
"Sum of all exports",1111.273
"Sum of all respiratory flows",2438.38
"Sum of all flows into detritus",3835.273
"Total system throughput",14201.1
"Sum of all production",5234.944
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006537263
"Calculated total net primary production",3493.235
"Total primary production/total respiration",1.432605
"Net system production",1054.855
"Total primary production/total biomass",8.104763
"Total biomass/total throughput",0.03035047
"Total biomass (excluding detritus)",431.0101
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002043
"Total market value",2.14144
"Total shadow value",0.07324815
"Total value",2.214688
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5015367
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035296
