parameter,value
"Total consumption",6800.781
"Sum of all exports",1152.847
"Sum of all respiratory flows",2441.559
"Sum of all flows into detritus",3900.508
"Total system throughput",14295.69
"Sum of all production",5268.84
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006451462
"Calculated total net primary production",3539.693
"Total primary production/total respiration",1.449767
"Net system production",1098.134
"Total primary production/total biomass",8.239092
"Total biomass/total throughput",0.03005252
"Total biomass (excluding detritus)",429.6217
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999527
"Total market value",2.14144
"Total shadow value",0.07081702
"Total value",2.212257
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991056
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034795
