parameter,value
"Total consumption",6686.494
"Sum of all exports",1062.115
"Sum of all respiratory flows",2374.291
"Sum of all flows into detritus",3771.997
"Total system throughput",13894.9
"Sum of all production",5108.12
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006754434
"Calculated total net primary production",3380.919
"Total primary production/total respiration",1.42397
"Net system production",1006.628
"Total primary production/total biomass",7.907335
"Total biomass/total throughput",0.03077154
"Total biomass (excluding detritus)",427.5674
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000265
"Total market value",2.14144
"Total shadow value",0.07265008
"Total value",2.21409
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5009388
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031991
