parameter,value
"Total consumption",6728.038
"Sum of all exports",1101.488
"Sum of all respiratory flows",2404.635
"Sum of all flows into detritus",3826.902
"Total system throughput",14061.06
"Sum of all production",5173.464
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006615879
"Calculated total net primary production",3451.725
"Total primary production/total respiration",1.435446
"Net system production",1047.09
"Total primary production/total biomass",8.046417
"Total biomass/total throughput",0.03050813
"Total biomass (excluding detritus)",428.9767
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005785
"Total market value",2.14144
"Total shadow value",0.0683933
"Total value",2.209833
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4966818
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031631
