parameter,value
"Total consumption",6748.716
"Sum of all exports",1175.534
"Sum of all respiratory flows",2388.225
"Sum of all flows into detritus",3940.133
"Total system throughput",14252.61
"Sum of all production",5261.043
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006505223
"Calculated total net primary production",3510.44
"Total primary production/total respiration",1.469895
"Net system production",1122.215
"Total primary production/total biomass",8.142905
"Total biomass/total throughput",0.03024739
"Total biomass (excluding detritus)",431.1041
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003129
"Total market value",2.14144
"Total shadow value",0.06865221
"Total value",2.210092
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4969407
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031067
