parameter,value
"Total consumption",6755.242
"Sum of all exports",1114.971
"Sum of all respiratory flows",2416.809
"Sum of all flows into detritus",3815.699
"Total system throughput",14102.72
"Sum of all production",5204.412
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006567987
"Calculated total net primary production",3476.894
"Total primary production/total respiration",1.43863
"Net system production",1060.085
"Total primary production/total biomass",8.086612
"Total biomass/total throughput",0.03048751
"Total biomass (excluding detritus)",429.9568
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004047
"Total market value",2.14144
"Total shadow value",0.07079485
"Total value",2.212235
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4990834
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033446
