parameter,value
"Total consumption",6808.1
"Sum of all exports",1146.356
"Sum of all respiratory flows",2420.409
"Sum of all flows into detritus",3905.014
"Total system throughput",14279.88
"Sum of all production",5266.585
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006503719
"Calculated total net primary production",3511.252
"Total primary production/total respiration",1.450685
"Net system production",1090.842
"Total primary production/total biomass",8.114474
"Total biomass/total throughput",0.0303024
"Total biomass (excluding detritus)",432.7146
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002256
"Total market value",2.14144
"Total shadow value",0.07279219
"Total value",2.214232
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5010809
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03097
