parameter,value
"Total consumption",6686.016
"Sum of all exports",1104.49
"Sum of all respiratory flows",2407.334
"Sum of all flows into detritus",3828.338
"Total system throughput",14026.18
"Sum of all production",5152.364
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006605986
"Calculated total net primary production",3456.894
"Total primary production/total respiration",1.435984
"Net system production",1049.56
"Total primary production/total biomass",8.015636
"Total biomass/total throughput",0.03074743
"Total biomass (excluding detritus)",431.2689
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001928
"Total market value",2.14144
"Total shadow value",0.07259661
"Total value",2.214036
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5008851
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031585
