parameter,value
"Total consumption",6731.834
"Sum of all exports",1149.063
"Sum of all respiratory flows",2426.548
"Sum of all flows into detritus",3874.044
"Total system throughput",14181.49
"Sum of all production",5223.52
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000648715
"Calculated total net primary production",3520.22
"Total primary production/total respiration",1.450711
"Net system production",1093.671
"Total primary production/total biomass",8.153384
"Total biomass/total throughput",0.03044458
"Total biomass (excluding detritus)",431.7495
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001567
"Total market value",2.14144
"Total shadow value",0.07260173
"Total value",2.214042
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5008904
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03304
