parameter,value
"Total consumption",6800.19
"Sum of all exports",1168.555
"Sum of all respiratory flows",2416.35
"Sum of all flows into detritus",3905.687
"Total system throughput",14290.78
"Sum of all production",5285.092
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006467985
"Calculated total net primary production",3530.65
"Total primary production/total respiration",1.46115
"Net system production",1114.3
"Total primary production/total biomass",8.191298
"Total biomass/total throughput",0.03016102
"Total biomass (excluding detritus)",431.0245
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002119
"Total market value",2.14144
"Total shadow value",0.06903963
"Total value",2.210479
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4973282
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029468
