parameter,value
"Total consumption",6740.208
"Sum of all exports",1173.87
"Sum of all respiratory flows",2407.021
"Sum of all flows into detritus",3945.044
"Total system throughput",14266.14
"Sum of all production",5252.644
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006478453
"Calculated total net primary production",3524.946
"Total primary production/total respiration",1.464444
"Net system production",1117.925
"Total primary production/total biomass",8.216765
"Total biomass/total throughput",0.0300708
"Total biomass (excluding detritus)",428.9943
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005297
"Total market value",2.14144
"Total shadow value",0.07023576
"Total value",2.211676
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4985243
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031739
