parameter,value
"Total consumption",6716.214
"Sum of all exports",1056.782
"Sum of all respiratory flows",2404.138
"Sum of all flows into detritus",3787.777
"Total system throughput",13964.91
"Sum of all production",5121.835
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006705455
"Calculated total net primary production",3405.615
"Total primary production/total respiration",1.416564
"Net system production",1001.476
"Total primary production/total biomass",7.961101
"Total biomass/total throughput",0.03063262
"Total biomass (excluding detritus)",427.7819
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200371
"Total market value",2.14144
"Total shadow value",0.06947787
"Total value",2.210918
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4977664
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031715
