parameter,value
"Total consumption",6825.084
"Sum of all exports",1153.867
"Sum of all respiratory flows",2461.517
"Sum of all flows into detritus",3926.22
"Total system throughput",14366.69
"Sum of all production",5284.301
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006412224
"Calculated total net primary production",3561.353
"Total primary production/total respiration",1.446812
"Net system production",1099.836
"Total primary production/total biomass",8.269938
"Total biomass/total throughput",0.02997478
"Total biomass (excluding detritus)",430.6384
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002225
"Total market value",2.14144
"Total shadow value",0.07104267
"Total value",2.212483
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4993314
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033248
